"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
1406,696.137573,1406,2900,1406,1402.447998,1406,2950,
1407,696.137573,1407,2900,1407,1402.447998,1407,2900,
1408,696.014404,1408,2900,1408,1401.985596,1408,2950,
1409,696.876465,1409,2900,1409,1403.37854,1409,2850,
1410,696.753296,1410,2900,1410,1402.832642,1410,2950,
1411,696.753296,1411,2900,1411,1403.162354,1411,2900,
1412,697.492188,1412,2900,1412,1402.506592,1412,2900,
1413,697.492188,1413,2900,1413,1402.74939,1413,2900,
1414,699.09314,1414,2900,1414,1403.071167,1414,2850,
1415,699.09314,1415,2900,1415,1403.396729,1415,2900,
1416,698.190002,1416,3000,1416,1402.118774,1416,2900,
1417,699.856689,1417,3000,1417,1402.360352,1417,2900,
1418,702.277283,1418,3000,1418,1401.888184,1418,2950,
1419,703.110596,1419,3000,1419,1401.506714,1419,2950,
1420,705.531189,1420,3000,1420,1401.365601,1420,2950,
1421,707.197876,1421,3000,1421,1403.39856,1421,2900,
1422,707.991516,1422,3000,1422,1401.143555,1422,3000,
1423,709.658203,1423,3000,1423,1403.43457,1423,2900,
1424,710.451843,1424,3000,1424,1401.881104,1424,3000,
1425,710.451843,1425,3000,1425,1402.348877,1425,3000,
1426,712.039124,1426,3000,1426,1401.559448,1426,3000,
1427,712.039124,1427,3000,1427,1402.193115,1427,3000,
1428,712.832764,1428,3000,1428,1402.193115,1428,3000,
1429,713.666077,1429,3000,1429,1403.94519,1429,2950,
1430,715.29303,1430,3000,1430,1403.846558,1430,2950,
1431,715.29303,1431,3000,1431,1404.737671,1431,3000,
1432,716.046997,1432,3000,1432,1403.827881,1432,3050,
1433,716.88031,1433,3000,1433,1404.801392,1433,2950,
1434,717.67395,1434,3000,1434,1404.901367,1434,3000,
1435,717.67395,1435,3000,1435,1403.86084,1435,3000,
1436,717.67395,1436,3000,1436,1403.799805,1436,3000,
1437,717.67395,1437,3000,1437,1403.82959,1437,3000,
1438,717.67395,1438,3000,1438,1403.69165,1438,3000,
1439,717.67395,1439,3000,1439,1404.2677,1439,3000,
1440,716.840637,1440,3000,1440,1403.753418,1440,3050,
1441,717.67395,1441,3000,1441,1404.958618,1441,2950,
1442,716.840637,1442,3000,1442,1403.074463,1442,3050,
1443,716.840637,1443,3000,1443,1403.94104,1443,3000,
1444,716.800964,1444,3000,1444,1401.80542,1444,3050,
1445,716.800964,1445,3000,1445,1402.427124,1445,3000,
1446,717.594604,1446,3000,1446,1403.126587,1446,3000,
1447,717.594604,1447,3000,1447,1403.670654,1447,3000,
1448,718.388245,1448,3000,1448,1404.29248,1448,3000,
1449,719.221558,1449,3000,1449,1404.29248,1449,2950,
