"d_x","d_y","cs_x","cs_y"
4528,882.656982,4528,3050,
4529,883.46344,4529,3050,
4530,883.46344,4530,3100,
4531,885.076355,4531,3050,
4532,885.076355,4532,3100,
4533,884.269897,4533,3100,
4534,883.46344,4534,3150,
4535,882.656982,4535,3150,
4536,883.46344,4536,3100,
4537,883.46344,4537,3100,
4538,883.46344,4538,3100,
4539,882.656982,4539,3150,
4540,882.656982,4540,3100,
4541,885.000732,4541,3150,
4542,885.781982,4542,3150,
4543,888.125732,4543,3150,
4544,888.906982,4544,3150,
4545,890.469482,4545,3100,
4546,892.813232,4546,3100,
4547,893.594482,4547,3150,
4548,895.938232,4548,3100,
4549,896.719482,4549,3150,
4550,898.281982,4550,3100,
4551,899.844482,4551,3150,
4552,900.625732,4552,3150,
4553,900.625732,4553,3200,
4554,901.406982,4554,3150,
4555,901.406982,4555,3200,
4556,901.406982,4556,3200,
4557,901.406982,4557,3200,
4558,900.625732,4558,3250,
4559,900.625732,4559,3200,
4560,900.625732,4560,3200,
4561,900.625732,4561,3200,
4562,900.625732,4562,3200,
4563,900.625732,4563,3250,
4564,900.625732,4564,3200,
4565,901.406982,4565,3150,
4566,900.625732,4566,3200,
4567,901.406982,4567,3150,
4568,902.969482,4568,3150,
4569,902.969482,4569,3200,
4570,903.750732,4570,3150,
4571,903.750732,4571,3200,
4572,903.750732,4572,3200,
4573,902.969482,4573,3200,
4574,902.969482,4574,3200,
4575,902.188232,4575,3250,
4576,902.188232,4576,3200,
4577,901.406982,4577,3250,
4578,900.625732,4578,3250,
4579,900.625732,4579,3200,
4580,899.844482,4580,3250,
4581,899.844482,4581,3200,
4582,899.844482,4582,3200,
4583,901.359619,4583,3200,
4584,902.874756,4584,3200,
4585,904.389893,4585,3200,
4586,908.177734,4586,3150,
4587,909.692871,4587,3200,
4588,912.723145,4588,3200,
4589,914.238281,4589,3200,
4590,914.238281,4590,3300,
4591,914.99585,4591,3300,
4592,915.753418,4592,3250,
4593,917.268555,4593,3300,
4594,918.026123,4594,3250,
4595,918.783691,4595,3250,
4596,918.783691,4596,3300,
4597,918.783691,4597,3300,
4598,918.783691,4598,3300,
4599,918.783691,4599,3300,
4600,918.783691,4600,3300,
4601,919.54126,4601,3300,
4602,919.54126,4602,3300,
4603,920.298828,4603,3250,
4604,921.056396,4604,3250,
4605,921.056396,4605,3300,
4606,922.571533,4606,3300,
4607,923.329102,4607,3250,
4608,923.329102,4608,3300,
4609,923.329102,4609,3300,
4610,923.329102,4610,3300,
4611,924.08667,4611,3300,
4612,924.08667,4612,3300,
4613,923.329102,4613,3350,
4614,923.329102,4614,3300,
4615,922.571533,4615,3350,
4616,922.571533,4616,3300,
4617,922.571533,4617,3300,
4618,922.571533,4618,3300,
4619,922.571533,4619,3300,
4620,922.571533,4620,3300,
4621,922.571533,4621,3300,
4622,922.571533,4622,3300,
4623,923.329102,4623,3250,
4624,924.844238,4624,3200,
4625,925.601807,4625,3250,
4626,925.601807,4626,3300,
4627,927.072388,4627,3300,
4628,929.278259,4628,3350,
4629,930.74884,4629,3300,
4630,931.484131,4630,3350,
4631,933.690002,4631,3300,
4632,934.425293,4632,3350,
4633,935.895874,4633,3350,
4634,935.895874,4634,3400,
4635,936.631165,4635,3350,
4636,936.631165,4636,3400,
4637,937.366455,4637,3350,
4638,937.366455,4638,3400,
4639,938.101746,4639,3350,
4640,938.837036,4640,3350,
4641,941.042908,4641,3300,
4642,941.778198,4642,3350,
4643,943.248779,4643,3400,
4644,943.248779,4644,3400,
4645,943.248779,4645,3400,
4646,943.98407,4646,3400,
4647,944.71936,4647,3350,
4648,944.71936,4648,3400,
4649,943.98407,4649,3450,
4650,943.248779,4650,3450,
4651,941.042908,4651,3500,
4652,940.307617,4652,3450,
4653,938.101746,4653,3450,
4654,936.631165,4654,3500,
4655,935.895874,4655,3450,
4656,935.160583,4656,3400,
4657,935.160583,4657,3400,
4658,935.160583,4658,3350,
4659,935.160583,4659,3400,
4660,935.160583,4660,3400,
4661,934.425293,4661,3400,
4662,933.690002,4662,3450,
